GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,464090,2969648,google.com,com,1,1,464634,2986763
2,2,facebook.com,com,452015,3048268,facebook.com,com,2,2,452393,3065915
3,3,youtube.com,com,411300,2447059,youtube.com,com,3,3,411972,2463309
4,4,twitter.com,com,409145,2543485,twitter.com,com,4,4,410117,2563632
5,5,microsoft.com,com,304313,1145800,microsoft.com,com,5,5,304985,1149755
6,6,linkedin.com,com,293604,1348610,linkedin.com,com,6,6,294015,1356180
7,1,wikipedia.org,org,287783,1242985,wikipedia.org,org,7,1,288461,1251157
8,7,plus.google.com,com,284043,1458362,plus.google.com,com,8,7,284705,1467510
9,8,instagram.com,com,277653,1370034,instagram.com,com,9,8,277908,1378025
10,9,apple.com,com,276908,1052239,apple.com,com,10,9,277510,1059216
11,2,wordpress.org,org,258484,1272277,wordpress.org,org,11,2,258224,1272498
12,10,adobe.com,com,250659,867344,adobe.com,com,12,10,251938,874249
13,3,en.wikipedia.org,org,241425,916432,en.wikipedia.org,org,13,3,242039,921875
14,11,blogspot.com,com,232289,921914,blogspot.com,com,14,11,232956,927849
15,12,itunes.apple.com,com,229291,762745,itunes.apple.com,com,15,12,229861,768307
16,13,wordpress.com,com,228557,894192,wordpress.com,com,16,13,229378,901055
17,1,youtu.be,be,217685,788269,youtu.be,be,17,1,218465,794893
18,14,vimeo.com,com,216653,901088,vimeo.com,com,18,14,217348,908165
19,15,pinterest.com,com,216477,993568,pinterest.com,com,19,15,216961,999645
20,1,goo.gl,gl,212743,758754,goo.gl,gl,20,1,213425,763023
21,16,maps.google.com,com,211397,778731,maps.google.com,com,21,16,211744,782433
22,17,play.google.com,com,204158,640273,play.google.com,com,22,17,204766,644650
23,18,yahoo.com,com,197059,629029,yahoo.com,com,23,18,197818,632583
24,19,googletagmanager.com,com,193942,660534,googletagmanager.com,com,24,19,194654,665311
25,20,amazon.com,com,188251,652042,amazon.com,com,25,20,188615,655498
26,21,player.vimeo.com,com,181285,711904,player.vimeo.com,com,27,21,181814,716879
27,1,bit.ly,ly,181110,591401,bit.ly,ly,26,1,181905,596384
28,22,docs.google.com,com,175034,553712,docs.google.com,com,28,22,175525,556844
29,23,tumblr.com,com,172478,626298,tumblr.com,com,29,23,172902,629763
30,24,github.com,com,167988,498638,github.com,com,30,24,168163,499554
31,25,flickr.com,com,165290,541658,flickr.com,com,31,25,165789,545400
32,4,mozilla.org,org,164585,481185,mozilla.org,org,32,4,163290,478262
33,5,w3.org,org,155113,394377,w3.org,org,33,5,155426,395837
34,26,godaddy.com,com,154223,489674,godaddy.com,com,34,26,154450,490126
35,27,get.adobe.com,com,150232,390432,get.adobe.com,com,35,27,151505,396402
36,6,apache.org,org,148677,348121,apache.org,org,36,6,148808,348576
37,1,sourceforge.net,net,145436,357075,sourceforge.net,net,37,1,145714,358075
38,28,gravatar.com,com,141204,486231,gravatar.com,com,38,28,141144,486348
39,29,mcc.godaddy.com,com,139115,418794,mcc.godaddy.com,com,39,29,139317,418823
40,30,nytimes.com,com,136556,400164,nytimes.com,com,40,30,136915,402683
41,31,drive.google.com,com,131183,358704,drive.google.com,com,41,31,131723,360302
42,1,europa.eu,eu,129735,413046,europa.eu,eu,42,1,130972,420001
43,32,reddit.com,com,128293,417616,reddit.com,com,43,32,128387,419091
44,33,sites.google.com,com,127679,326431,sites.google.com,com,-1,-1,-1,-1
45,34,soundcloud.com,com,125397,402742,soundcloud.com,com,44,33,125839,404963
46,1,t.co,co,125258,376187,t.co,co,45,1,125515,378838
47,2,php.net,net,123794,301939,php.net,net,46,2,123923,302538
48,35,support.google.com,com,123001,390230,support.google.com,com,47,34,122846,390745
49,1,bbc.co.uk,uk,121398,332894,bbc.co.uk,uk,48,1,121856,335454
50,36,cnn.com,com,121263,325169,cnn.com,com,49,35,121555,327135
51,1,nih.gov,gov,120541,315765,nih.gov,gov,51,1,120801,317028
52,37,weebly.com,com,119220,324277,weebly.com,com,52,37,119902,326739
53,38,amazonaws.com,com,118920,287682,amazonaws.com,com,53,38,119486,289688
54,39,qq.com,com,116670,1110086,qq.com,com,54,39,116696,1103944
55,40,theguardian.com,com,116029,319810,theguardian.com,com,55,40,116183,321750
56,41,accounts.google.com,com,115393,345831,accounts.google.com,com,50,36,120899,367176
57,42,dropbox.com,com,114705,301279,dropbox.com,com,56,41,115133,303442
58,7,httpd.apache.org,org,114431,251417,httpd.apache.org,org,58,7,114448,251541
59,43,blogger.com,com,113949,313348,blogger.com,com,57,42,114591,316356
60,44,forbes.com,com,111155,290411,forbes.com,com,59,43,111248,292119
61,8,gnu.org,org,110892,251640,gnu.org,org,61,9,110823,251116
62,9,creativecommons.org,org,110647,278685,creativecommons.org,org,60,8,111006,280215
63,45,virginmedia.com,com,110031,278818,virginmedia.com,com,62,44,110191,278962
64,46,tinyurl.com,com,109719,278029,tinyurl.com,com,63,45,109899,279096
65,47,msn.com,com,108804,266832,msn.com,com,64,46,109221,267961
66,10,validator.w3.org,org,108576,258363,validator.w3.org,org,66,10,108815,259256
67,48,issuu.com,com,107606,284524,issuu.com,com,67,47,108038,286656
68,1,github.io,io,107507,251879,github.io,io,65,1,108858,257216
69,49,oracle.com,com,106062,207885,oracle.com,com,68,48,106242,208473
70,50,wsj.com,com,106024,268134,wsj.com,com,69,49,106174,269628
71,51,m.facebook.com,com,105491,300670,m.facebook.com,com,70,50,105750,301793
72,1,t-online.de,de,105121,261310,t-online.de,de,71,1,105681,262998
73,52,imdb.com,com,104286,282827,imdb.com,com,72,51,104544,284425
74,53,bing.com,com,104280,264341,bing.com,com,74,53,104392,264821
75,54,paypal.com,com,104264,299207,paypal.com,com,73,52,104529,301098
76,11,archive.org,org,103516,268506,archive.org,org,75,11,103756,269475
77,55,live.com,com,102400,233650,live.com,com,76,54,102919,235129
78,2,www.ncbi.nlm.nih.gov,gov,102176,252163,www.ncbi.nlm.nih.gov,gov,77,2,102352,252746
79,3,slideshare.net,net,101948,240733,slideshare.net,net,78,3,102275,242107
80,56,reuters.com,com,101605,245783,reuters.com,com,79,55,102014,247405
81,57,go.com,com,101289,256488,go.com,com,80,56,101584,257964
82,58,wix.com,com,100426,253608,wix.com,com,81,57,100997,255476
83,59,bp.blogspot.com,com,100387,279266,bp.blogspot.com,com,82,58,100686,280743
84,60,huffingtonpost.com,com,99523,272921,huffingtonpost.com,com,83,59,99735,274450
85,61,aol.com,com,99022,225771,aol.com,com,84,60,99487,227099
86,62,myspace.com,com,98151,265235,myspace.com,com,86,62,98420,267023
87,12,wikimedia.org,org,97810,249437,wikimedia.org,org,87,12,98238,251140
88,63,mysql.com,com,97365,203213,mysql.com,com,88,63,97465,203684
89,2,ec.europa.eu,eu,97361,293129,ec.europa.eu,eu,-1,-1,-1,-1
90,64,washingtonpost.com,com,97293,247816,washingtonpost.com,com,89,64,97387,249289
91,65,bloomberg.com,com,96929,230609,bloomberg.com,com,90,65,97221,232140
92,66,wixsite.com,com,95833,235171,wixsite.com,com,91,66,96151,236490
93,1,mit.edu,edu,94858,204009,mit.edu,edu,92,1,95083,204929
94,67,opera.com,com,94103,233916,opera.com,com,93,67,94414,235021
95,68,ibm.com,com,94071,182571,ibm.com,com,85,61,99203,198946
96,69,medium.com,com,93933,230744,medium.com,com,94,68,94091,231556
97,70,ebay.com,com,93461,240952,ebay.com,com,96,70,93518,241619
98,71,weibo.com,com,93423,541447,weibo.com,com,97,71,93220,537732
99,72,vk.com,com,93409,322462,vk.com,com,95,69,93531,322952
100,13,debian.org,org,92895,196634,debian.org,org,98,13,92992,196860
101,2,telegraph.co.uk,uk,92658,236208,telegraph.co.uk,uk,99,2,92961,237984
102,73,wp.com,com,92297,300605,wp.com,com,100,72,92268,301346
103,4,cpanel.net,net,92126,423474,cpanel.net,net,102,4,92002,423348
104,74,support.apple.com,com,92108,241705,support.apple.com,com,103,73,91997,242252
105,2,harvard.edu,edu,91819,204352,harvard.edu,edu,101,2,92008,205345
106,3,stanford.edu,edu,91429,191775,stanford.edu,edu,104,3,91567,192742
107,75,cnet.com,com,90602,204387,cnet.com,com,105,74,90973,205475
108,3,dailymail.co.uk,uk,90531,234363,dailymail.co.uk,uk,106,3,90873,235960
109,76,cpanel.com,com,90383,414235,cpanel.com,com,108,76,90264,414083
110,77,hp.com,com,90286,180959,hp.com,com,107,75,90676,182150
111,78,bbc.com,com,89495,213139,bbc.com,com,109,77,89685,214004
112,79,fc2.com,com,88765,221296,fc2.com,com,110,78,89048,222710
113,3,nasa.gov,gov,86369,187364,nasa.gov,gov,111,3,86548,188346
114,80,w.soundcloud.com,com,86104,247752,w.soundcloud.com,com,-1,-1,-1,-1
115,81,time.com,com,86052,206251,time.com,com,112,79,86224,207419
116,82,macromedia.com,com,85281,179048,macromedia.com,com,113,80,85462,179784
117,83,livejournal.com,com,85256,215933,livejournal.com,com,114,81,85449,216785
118,84,usatoday.com,com,85061,205830,usatoday.com,com,115,82,85255,207206
119,85,businessinsider.com,com,84332,199968,businessinsider.com,com,117,84,84367,200954
120,86,jimdo.com,com,84135,224244,jimdo.com,com,116,83,84484,225527
121,87,about.com,com,83912,198028,about.com,com,118,85,84282,199160
122,88,addthis.com,com,83767,195014,addthis.com,com,119,86,84134,196298
123,1,free.fr,fr,83738,199204,free.fr,fr,120,1,84114,200881
124,89,imgur.com,com,83348,209854,imgur.com,com,121,87,83403,210615
125,1,sina.com.cn,cn,83263,445700,sina.com.cn,cn,122,1,83230,444579
126,90,digg.com,com,82246,211577,digg.com,com,124,89,82338,212371
127,91,surveymonkey.com,com,81855,173709,surveymonkey.com,com,123,88,82407,175360
128,92,wired.com,com,81844,186186,wired.com,com,125,90,82073,187350
129,93,dailymotion.com,com,81742,219624,dailymotion.com,com,126,91,82068,221461
130,94,eventbrite.com,com,80741,199185,eventbrite.com,com,127,92,81219,200806
131,4,talktalk.co.uk,uk,80551,175134,talktalk.co.uk,uk,128,4,80759,175456
132,1,who.int,int,80017,163081,who.int,int,129,1,80300,163967
133,95,youtube-nocookie.com,com,79253,194966,youtube-nocookie.com,com,130,93,79625,196317
134,14,web.archive.org,org,79127,181051,web.archive.org,org,131,14,79254,181715
135,96,googleusercontent.com,com,78945,184823,googleusercontent.com,com,132,94,79232,185837
136,97,feedburner.com,com,78408,201099,feedburner.com,com,134,96,78581,201863
137,98,ted.com,com,78334,178091,ted.com,com,133,95,78614,179062
138,1,gc.ca,ca,78128,167577,gc.ca,ca,135,1,78386,168774
139,4,cdc.gov,gov,77837,179373,cdc.gov,gov,136,4,78039,180096
140,99,statcounter.com,com,77721,204884,statcounter.com,com,140,99,77717,205152
141,100,wiley.com,com,77655,159840,wiley.com,com,139,98,77724,160224
142,101,typepad.com,com,77606,187772,typepad.com,com,137,97,77896,189015
143,15,un.org,org,77568,157727,un.org,org,138,15,77779,158722
144,102,2.bp.blogspot.com,com,77432,199651,2.bp.blogspot.com,com,143,102,77576,200352
145,103,nature.com,com,77432,160561,nature.com,com,141,100,77646,161128
146,104,stumbleupon.com,com,77412,210678,stumbleupon.com,com,142,101,77594,211454
147,105,163.com,com,76775,377085,163.com,com,145,104,76813,376225
148,106,webs.com,com,76695,181965,webs.com,com,144,103,77010,183237
149,107,developers.google.com,com,76455,203338,developers.google.com,com,-1,-1,-1,-1
150,108,1.bp.blogspot.com,com,75748,194484,1.bp.blogspot.com,com,146,105,75883,195108
151,109,4.bp.blogspot.com,com,75637,195802,4.bp.blogspot.com,com,148,107,75730,196349
152,110,3.bp.blogspot.com,com,75591,194176,3.bp.blogspot.com,com,147,106,75746,194976
153,111,sciencedirect.com,com,75368,151987,sciencedirect.com,com,149,108,75547,152575
154,16,ietf.org,org,75013,134550,ietf.org,org,150,16,75094,134817
155,5,loc.gov,gov,74948,148060,loc.gov,gov,151,5,75068,148684
156,112,latimes.com,com,74611,179053,latimes.com,com,152,109,74774,180148
157,113,scribd.com,com,74462,173416,scribd.com,com,153,110,74541,174105
158,114,tripod.com,com,73976,160814,tripod.com,com,154,111,74311,161572
159,115,feeds.feedburner.com,com,73962,187261,feeds.feedburner.com,com,155,112,74129,187961
160,4,berkeley.edu,edu,73786,148685,berkeley.edu,edu,157,4,73893,149269
161,116,list-manage.com,com,73629,173859,list-manage.com,com,156,113,74106,175181
162,117,wpa.qq.com,com,73457,602888,wpa.qq.com,com,163,115,73385,599865
163,118,i0.wp.com,com,73438,234240,i0.wp.com,com,161,114,73447,234558
164,5,independent.co.uk,uk,73406,171699,independent.co.uk,uk,160,7,73619,172969
165,6,google.co.uk,uk,73395,183185,google.co.uk,uk,159,6,73720,185007
166,7,www.gov.uk,uk,73345,164659,www.gov.uk,uk,158,5,73767,167004
167,5,launchpad.net,net,73173,140263,launchpad.net,net,165,5,73197,140253
168,17,npr.org,org,73136,177397,npr.org,org,162,17,73430,178440
169,5,washington.edu,edu,73066,138819,washington.edu,edu,166,5,73197,139271
